Change Component Footprint: Designator=U? Old Footprint=LT-MSE-16-EDP_L New Footprint=FP-751-07-MFG
Change Component Comment : Designator=U? Old Comment=LT3798EMSE#PBF New Comment=NCP1200D40R2G
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=D984AE66-1594-4C1B-80FF-C3AD724A2AF5 New ItemGUID=7E603C6C-7786-4DB6-8C2B-7ED63184663A Old RevisionGUID=256C8D01-9FC4-46D7-9B0A-0D3A86C75818 New RevisionGUID=0EFE5BA4-E0CC-41F0-969D-CEFF14766EA4
Change component parameters: Designator = "U?" ("U?"); Footprint = "LT-MSE-16-EDP_L"; UniqueID = "\XCDQHCUH" ("\XCDQHCUH")
Add component (AddParameter): Name = "Mouser Description"; Value = "Trans MOSFET N-CH 600V 75A 9-Pin(8+Tab) HSOF T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of N Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ipt60r028g7xtma1-infineon-76958210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PG-HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "391W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pulse Drain Current"; Value = "245A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Charge"; Value = "8700nC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Time"; Value = "440ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rthja Max"; Value = "62°C/W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Max"; Value = "4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Min"; Value = "3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn Off Delay Time"; Value = "100ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn On Delay Time"; Value = "28ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typ Forward Diode Voltage"; Value = "0.8V"; VariantName = "[No Variations]"
Added Component: Designator=Q?(FP-PG-HSOF-8-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.infineon.com/dgdl/Infineon-IPT60R028G7-DS-v02_00-EN.pdf?fileId=5546d46259d9a4bf015a13e82df70e30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current"; Value = "75A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depletion Mode"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Transistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "MOSFETs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "MOSFET N-CH 600V 75A HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Breakdown Voltage"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Resistance"; Value = "0.024O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Voltage"; Value = "650V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.infineon.com/cms/en/product/packages/PG-HSOF/PG-HSOF-8-2/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Charge At Vgs"; Value = "123nC @ 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate To Source Voltage"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitace At Vds"; Value = "4820pF @ 400V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "IPT60R028G7XTMA1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Trans MOSFET N-CH 600V 75A 9-Pin(8+Tab) HSOF T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of N Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ipt60r028g7xtma1-infineon-76958210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PG-HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "391W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pulse Drain Current"; Value = "245A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Charge"; Value = "8700nC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Time"; Value = "440ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rthja Max"; Value = "62°C/W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Max"; Value = "4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Min"; Value = "3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn Off Delay Time"; Value = "100ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn On Delay Time"; Value = "28ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typ Forward Diode Voltage"; Value = "0.8V"; VariantName = "[No Variations]"
Added Component: Designator=Q?(FP-PG-HSOF-8-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.infineon.com/dgdl/Infineon-IPT60R028G7-DS-v02_00-EN.pdf?fileId=5546d46259d9a4bf015a13e82df70e30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current"; Value = "75A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depletion Mode"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Transistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "MOSFETs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "MOSFET N-CH 600V 75A HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Breakdown Voltage"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Resistance"; Value = "0.024O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Voltage"; Value = "650V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.infineon.com/cms/en/product/packages/PG-HSOF/PG-HSOF-8-2/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Charge At Vgs"; Value = "123nC @ 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate To Source Voltage"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitace At Vds"; Value = "4820pF @ 400V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "IPT60R028G7XTMA1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Trans MOSFET N-CH 600V 75A 9-Pin(8+Tab) HSOF T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of N Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ipt60r028g7xtma1-infineon-76958210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PG-HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "391W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pulse Drain Current"; Value = "245A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Charge"; Value = "8700nC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Time"; Value = "440ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rthja Max"; Value = "62°C/W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Max"; Value = "4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Min"; Value = "3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn Off Delay Time"; Value = "100ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn On Delay Time"; Value = "28ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typ Forward Diode Voltage"; Value = "0.8V"; VariantName = "[No Variations]"
Added Component: Designator=Q?(FP-PG-HSOF-8-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.infineon.com/dgdl/Infineon-IPT60R028G7-DS-v02_00-EN.pdf?fileId=5546d46259d9a4bf015a13e82df70e30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Continuous Drain Current"; Value = "75A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depletion Mode"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Transistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "MOSFETs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "MOSFET N-CH 600V 75A HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Breakdown Voltage"; Value = "600V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Resistance"; Value = "0.024O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain To Source Voltage"; Value = "650V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Footprint Url"; Value = "https://www.infineon.com/cms/en/product/packages/PG-HSOF/PG-HSOF-8-2/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate Charge At Vgs"; Value = "123nC @ 10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gate To Source Voltage"; Value = "20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitace At Vds"; Value = "4820pF @ 400V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Infineon"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "IPT60R028G7XTMA1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Junction Temp"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Trans MOSFET N-CH 600V 75A 9-Pin(8+Tab) HSOF T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of N Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ipt60r028g7xtma1-infineon-76958210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PG-HSOF-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "391W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pulse Drain Current"; Value = "245A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Charge"; Value = "8700nC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Reverse Recovery Time"; Value = "440ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rthja Max"; Value = "62°C/W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Max"; Value = "4V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Threshold Vgs Min"; Value = "3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn Off Delay Time"; Value = "100ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Turn On Delay Time"; Value = "28ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Typ Forward Diode Voltage"; Value = "0.8V"; VariantName = "[No Variations]"
Added Member To Class: ClassName=Power Member=Component F? 3-132-874
Added Member To Class: ClassName=Power Member=Component IC? TEA2208T_1J
Added Member To Class: ClassName=Power Member=Component Q? IPT60R028G7XTMA1
Added Member To Class: ClassName=Power Member=Component Q? IPT60R028G7XTMA1
Added Member To Class: ClassName=Power Member=Component Q? IPT60R028G7XTMA1
Added Member To Class: ClassName=Power Member=Component Q? IPT60R028G7XTMA1
Added Member To Class: ClassName=Wireless Member=Component R? RC0603JR-070RL
Added Member To Class: ClassName=Power Member=Component T? Z9007-BL
