Line #,Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C52","Murata","GRM188R60J106ME47D","Volume Production","Newark","24R6334","0.065","0.065"
"","C0603C105K3RACTU","","C53","KEMET","C0603C105K3RACTU","Volume Production","Farnell","2118128","0.1314","1.31"
"","CMD15-21VRD/TR8","LED RED DIFFUSED 1206 SMD","D1","VCC CHML","CMD15-21VRD/TR8","Volume Production","Mouser","606-CMD15-21VRD","0.42","1.26"
"","CMD15-21VRD/TR8","LED RED DIFFUSED 1206 SMD","D2","VCC CHML","CMD15-21VRD/TR8","Volume Production","Mouser","606-CMD15-21VRD","0.42","1.26"
"","CMD15-21VRD/TR8","LED RED DIFFUSED 1206 SMD","D3","VCC CHML","CMD15-21VRD/TR8","Volume Production","Mouser","606-CMD15-21VRD","0.42","1.26"
"","BAV20WS-G3-08","Diode","D4","","","","","","",""
"","BAV20WS-G3-08","Diode","D5","","","","","","",""
"","SMBJ170A","TVS Diode (Uni-directional)","D6","","","","","","",""
"","CMR1U-06M_TR13_PBFREE","Diode","D7","","","","","","",""
"","MBRB20200CT","SWITCHMODE(TM) Power Rectifier, Dual Schottky Rectifiers, 3-Pin D2PAK, Tube","D8","ON Semiconductor","MBRB20200CT","Obsolete","","","",""
"","1SMA5937BT3G","1.5 W Zener Voltage Regulator, 2-Pin SMA, Pb-Free, Tape and Reel","D9","ON Semiconductor","1SMA5937BT3G","Volume Production","Arrow Electronics","1SMA5937BT3G","0.3546","0.3546"
"","2.5A Pico Fuse","Fuse","F1","","","","","","",""
"","750mA Pico Fuse","Fuse","F2","","","","","","",""
"","742792510","","FB1","Wurth Electronics","742792510","Volume Production","Digikey","732-1640-1-ND","0.26","1.04"
"","742792510","","FB2","Wurth Electronics","742792510","Volume Production","Digikey","732-1640-1-ND","0.26","1.04"
"","742792510","","FB3","Wurth Electronics","742792510","Volume Production","Digikey","732-1640-1-ND","0.26","1.04"
"","742792510","","FB4","Wurth Electronics","742792510","Volume Production","Digikey","732-1640-1-ND","0.26","1.04"
"","ESP32-S3-WROOM-1U-N16R8","Integrated Circuit","IC1","","","","","","",""
"","TAD5242IRGER","Integrated Circuit","IC2","","","","","","",""
"","RAPC322X","Integrated Circuit","IC3","","","","","","",""
"","TEA2208T_1J","Integrated Circuit","IC4","","","","","","",""
"","ED555_2DS","Connector","J1","","","","","","",""
"","ED555_2DS","Connector","J2","","","","","","",""
"","STX-3000","Connector","J3","","","","","","",""
"","SC-01-10G","Inductor","L1","","","","","","",""
"","61300211121","","P1","Wurth Electronics","61300211121","Volume Production","Digikey","732-5315-ND","0.12","0.12"
"","61300411121","","P2","Wurth Electronics","61300411121","Volume Production","Digikey","732-5317-ND","0.17","0.17"
"","IPT60R028G7XTMA1","MOSFET N-CH 600V 75A HSOF-8","Q1","Infineon","IPT60R028G7XTMA1","Volume Production","Mouser","726-IPT60R028G7XTMA1","13.7","54.8"
"","IPT60R028G7XTMA1","MOSFET N-CH 600V 75A HSOF-8","Q2","Infineon","IPT60R028G7XTMA1","Volume Production","Mouser","726-IPT60R028G7XTMA1","13.7","54.8"
"","IPB60R165CP","MOSFET (N-Channel)","Q3","","","","","","",""
"","IPT60R028G7XTMA1","MOSFET N-CH 600V 75A HSOF-8","Q4","Infineon","IPT60R028G7XTMA1","Volume Production","Mouser","726-IPT60R028G7XTMA1","13.7","54.8"
"","IPT60R028G7XTMA1","MOSFET N-CH 600V 75A HSOF-8","Q5","Infineon","IPT60R028G7XTMA1","Volume Production","Mouser","726-IPT60R028G7XTMA1","13.7","54.8"
"","CRCW06031K00FKEA","RES Thick Film, 1kO, 1%, 0.1W, 100ppm/°C, 0603","R1","Vishay Dale","CRCW06031K00FKEA","Volume Production","Mouser","71-CRCW0603-1.0K-E3","0.1","0.1"
"","CRCW0603130RFKEA","RES Thick Film, 130O, 1%, 0.1W, 100ppm/°C, 0603","R2","Vishay","CRCW0603130RFKEA","Volume Production","Avnet","52K8128","0.01","0.02"
"","CRCW0603130RFKEA","RES Thick Film, 130O, 1%, 0.1W, 100ppm/°C, 0603","R3","Vishay","CRCW0603130RFKEA","Volume Production","Avnet","52K8128","0.01","0.02"
"","CRM2512QJW-103ELF","Resistor","R4","","","","","","",""
"","CRM2512QJW-103ELF","Resistor","R5","","","","","","",""
"","Giant 10ohm","Resistor","R6","","","","","","",""
"","ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R7","Vishay","CRCW060310K0FKEB","Obsolete","Newark","96Y9100","0.005","0.01"
"","RC0603FR-07100KL","RES SMD 100K OHM 1% 1/10W 0603","R8","Yageo","RC0603FR-07100KL","Volume Production","Mouser","603-RC0603FR-07100KL","0.009","0.09"
"","ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R9","Vishay","CRCW060310K0FKEB","Obsolete","Newark","96Y9100","0.005","0.01"
"","AC0603FR-071KL","RES 1kO 1.00% 0.1W 0603","R10","Yageo","AC0603FR-071KL","Volume Production","Digikey","311-1KLDDKR-ND","0.009","0.09"
"","CRCW060310K0JNEA","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 5% +/-Tol, 200ppm/Cel, Surface Mount, 0603","R11","Vishay Dale","CRCW060310K0JNEA","Volume Production","Newark","61M5336","0.01","0.01"
"","Jumper 0603","Jumper 0603","R12","Vishay Dale","CRCW06030000Z0EC","Volume Production","Newark","65AC3366","0.003","0.012"
"","Jumper 0603","Jumper 0603","R13","Vishay Dale","CRCW06030000Z0EC","Volume Production","Newark","65AC3366","0.003","0.012"
"","Jumper 0603","Jumper 0603","R14","Vishay Dale","CRCW06030000Z0EC","Volume Production","Newark","65AC3366","0.003","0.012"
"","Jumper 0603","Jumper 0603","R15","Vishay Dale","CRCW06030000Z0EC","Volume Production","Newark","65AC3366","0.003","0.012"
"","AC0603FR-071KL","RES 1kO 1.00% 0.1W 0603","R16","Yageo","AC0603FR-071KL","Volume Production","Digikey","311-1KLDDKR-ND","0.009","0.09"
"","AC0603FR-071KL","RES 1kO 1.00% 0.1W 0603","R17","Yageo","AC0603FR-071KL","Volume Production","Digikey","311-1KLDDKR-ND","0.009","0.09"
"","AC0603FR-071KL","RES 1kO 1.00% 0.1W 0603","R18","Yageo","AC0603FR-071KL","Volume Production","Digikey","311-1KLDDKR-ND","0.009","0.09"
"","AC0603FR-071KL","RES 1kO 1.00% 0.1W 0603","R19","Yageo","AC0603FR-071KL","Volume Production","Digikey","311-1KLDDKR-ND","0.009","0.09"
"","2512 100k 2W","Resistor","R20","","","","","","",""
"","2512 100k 2W","Resistor","R21","","","","","","",""
"","CRCW060320R0FKEAHP","RES Thick Film, 20O, 1%, 0.33W, 100ppm/°C, 0603","R22","Vishay Dale","CRCW060320R0FKEAHP","Volume Production","Newark","65AC3391","0.006","0.006"
"","CRCW2512237KFKEG","RES Thick Film, 237kO, 1%, 1W, 100ppm/°C, 2512","R23","Vishay Dale","CRCW2512237KFKEG","Volume Production","Digikey","541-237KAFCT-ND","0.27","0.54"
"","CRCW06030000Z0EAHP","RES Thick Film, 0O, , 0.33W, , 0603","R24","Vishay Dale","CRCW06030000Z0EAHP","Volume Production","Newark","68R2987","0.021","0.042"
"","CRCW06032M00FKEA","RES Thick Film, 2MO, 1%, 0.1W, 100ppm/°C, 0603","R25","Vishay","CRCW06032M00FKEA","Volume Production","Newark","52K8249","0.003","0.003"
"","CRCW120633K0FKEA","RES Thick Film, 33kO, 1%, 0.25W, 100ppm/°C, 1206","R26","Vishay","CRCW120633K0FKEA","Volume Production","Digikey","541-33.0KFCT-ND","0.11","0.11"
"","CRCW060319K6FKEA","","R27","Vishay","CRCW060319K6FKEA","Volume Production","Newark","52K8214","0.003","0.003"
"","CRCW06030000Z0EAHP","RES Thick Film, 0O, , 0.33W, , 0603","R28","Vishay Dale","CRCW06030000Z0EAHP","Volume Production","Newark","68R2987","0.021","0.042"
"","CRCW2512237KFKEG","RES Thick Film, 237kO, 1%, 1W, 100ppm/°C, 2512","R29","Vishay Dale","CRCW2512237KFKEG","Volume Production","Digikey","541-237KAFCT-ND","0.27","0.54"
"","ERJ-3GEY0R00V","RES SMD 0 OHM JUMPER 1/10W 0603","R30","Panasonic","ERJ-3GEY0R00V","Volume Production","Newark","65T8702","0.005","0.02"
"","ERJ-3GEY0R00V","RES SMD 0 OHM JUMPER 1/10W 0603","R31","Panasonic","ERJ-3GEY0R00V","Volume Production","Newark","65T8702","0.005","0.02"
"","ERJ-8ENF20R0V","","R32","Panasonic","ERJ-8ENF20R0V","Not Recommended for New Design","Newark","65T8853","0.007","0.007"
"","RC0603FR-0740K2L","RES 40.2K OHM 1% 1/10W 0603","R33","Yageo","RC0603FR-0740K2L","Volume Production","Digikey","311-40.2KHRCT-ND","0.1","0.1"
"","RC0603FR-07100KL","RES SMD 100K OHM 1% 1/10W 0603","R34","Yageo","RC0603FR-07100KL","Volume Production","Mouser","603-RC0603FR-07100KL","0.009","0.09"
"","0603 0.03 1/3W","Resistor","R35","","","","","","",""
"","ERJ-3EKF1822V","","R36","Panasonic","ERJ-3EKF1822V","Volume Production","Newark","65T8357","0.004","0.004"
"","ERJ-3GEY0R00V","RES SMD 0 OHM JUMPER 1/10W 0603","R37","Panasonic","ERJ-3GEY0R00V","Volume Production","Newark","65T8702","0.005","0.02"
"","ERJ-3GEY0R00V","RES SMD 0 OHM JUMPER 1/10W 0603","R38","Panasonic","ERJ-3GEY0R00V","Volume Production","Newark","65T8702","0.005","0.02"
"","RC0603FR-07220KL","Chip Resistor, 220 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R39","Yageo","RC0603FR-07220KL","Volume Production","Mouser","603-RC0603FR-07220KL","0.1","0.1"
"","0603 121 1% 1/3W","Resistor","R40","","","","","","",""
"","0603 1.2k 1% 1/3W","Resistor","R41","","","","","","",""
"","3983","Switch","S1","","","","","","",""
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","ST1","","","","","","",""
"","PTH-M2D5X5","M2 PTH (2.5mm), 5mm pad","ST2","","","","","","",""
"","L101011MS02Q","SWITCH SLIDE SPST 4A 125V","SW1","ITT C&K","L101011MS02Q","Volume Production","Mouser","611-L101011MS02Q","3.33","3.33"
"","750311771","","T1","Wurth Electronics","750311771","Volume Production","Mouser","710-750311771","9.18","9.18"
"","5194TR","Color Keyed SMT Test Point -Yellow","TP1","","","","","","",""
"","5190TR","Color Keyed SMT Test Point -Red","TP2","","","","","","",""
"","5191TR","Color Keyed SMT Test Point -Black","TP3","","","","","","",""
"","5197TR","Color Keyed SMT Test Point - Blue","TP4","","","","","","",""
"","5196TR","Color Keyed SMT Test Point -Green","TP5","","","","","","",""
"","5199TR","Color Keyed SMT Test Point -Purple","TP6","","","","","","",""
"","TPA3110D2PWPR","15 W Filter-Free Class D Stereo Amplifier with SpeakerGuard(TM), -40 to 85 degC, 28-pin SOP (PWP28), Green (RoHS & no Sb/Br)","U1","Texas Instruments","TPA3110D2PWPR","Volume Production","Mouser","595-TPA3110D2PWPR","2.09","2.09"
"","85300001009","Undefined or Miscellaneous","U2","","","","","","",""
"","LT3798EMSE#PBF","Isolated No Opto-Coupler Flyback Controller with Active PFC, 16-pin SOP (MSE-16-EDP), -40 to 125 degC, Pb-Free","U3","Analog Devices / Linear Technology","LT3798EMSE#PBF","Volume Production","Arrow Electronics","LT3798EMSE#PBF","6.37","6.37"
"","LM1085ISX-ADJ/NOPB","3A Low Dropout Positive Regulators, 3-pin TO-263, Pb-Free","U4","TI National Semiconductor","LM1085ISX-ADJ/NOPB","Unknown","Digikey","LM1085ISX-ADJ/NOPBCT-ND","1.84","1.84"
"","NCP1117ST33T3G","Low-Dropout Positive Fixed Voltage Regulator, 1 A, 3.3 V Output Voltage, 0 to 125 degC, 4-Pin SOT-223 (318H-01), Pb-Free, Tape and Reel","U5","ON Semiconductor","NCP1117ST33T3G","Volume Production","Newark","67H7013","0.68","0.68"
"","ABS25-32.768KHZ-T","CRYSTAL 32.7680KHZ 12.5PF SMD","Y1","Abracon","ABS25-32.768KHZ-T","Volume Production","Avnet","13J1804","0.404","0.404"
